name,screentime,episode
Theon Greyjoy,0,Episode - 42
Theon Greyjoy,245,Episode - 43
Theon Greyjoy,0,Episode - 44
Theon Greyjoy,389,Episode - 45
Theon Greyjoy,442,Episode - 46
Theon Greyjoy,265,Episode - 47
Theon Greyjoy,170,Episode - 48
Theon Greyjoy,0,Episode - 49
Theon Greyjoy,124,Episode - 50
Theon Greyjoy,404,Episode - 51
Theon Greyjoy,136,Episode - 52
Theon Greyjoy,0,Episode - 53
Theon Greyjoy,186,Episode - 54
Theon Greyjoy,366,Episode - 55
Theon Greyjoy,0,Episode - 56
Theon Greyjoy,197,Episode - 57
Theon Greyjoy,0,Episode - 58
Theon Greyjoy,244,Episode - 59
Theon Greyjoy,93,Episode - 60
Theon Greyjoy,0,Episode - 61
Theon Greyjoy,513,Episode - 62
Theon Greyjoy,46,Episode - 63
Theon Greyjoy,98,Episode - 64
Theon Greyjoy,0,Episode - 65
Theon Greyjoy,0,Episode - 66
Theon Greyjoy,1896,Episode - 67
Theon Greyjoy,107,Episode - 68
Theon Greyjoy,265,Episode - 69
Theon Greyjoy,413,Episode - 70
Theon Greyjoy,103,Episode - 71
Theon Greyjoy,0,Episode - 72
Theon Greyjoy,0,Episode - 73
Joffrey Baratheon,531,Episode - 1
Joffrey Baratheon,620,Episode - 2
Joffrey Baratheon,159,Episode - 3
Joffrey Baratheon,249,Episode - 4
Joffrey Baratheon,239,Episode - 5
Joffrey Baratheon,173,Episode - 6
Joffrey Baratheon,504,Episode - 7
Joffrey Baratheon,369,Episode - 8
Joffrey Baratheon,330,Episode - 9
Joffrey Baratheon,451,Episode - 10
Joffrey Baratheon,406,Episode - 11
Joffrey Baratheon,0,Episode - 12
Joffrey Baratheon,0,Episode - 13
Joffrey Baratheon,392,Episode - 14
Joffrey Baratheon,0,Episode - 15
Joffrey Baratheon,226,Episode - 16
Joffrey Baratheon,0,Episode - 17
Joffrey Baratheon,64,Episode - 18
Joffrey Baratheon,380,Episode - 19
Joffrey Baratheon,273,Episode - 20
Joffrey Baratheon,217,Episode - 21
Joffrey Baratheon,417,Episode - 22
Joffrey Baratheon,0,Episode - 23
Joffrey Baratheon,200,Episode - 24
Joffrey Baratheon,0,Episode - 25
Joffrey Baratheon,19,Episode - 26
Joffrey Baratheon,208,Episode - 27
Joffrey Baratheon,424,Episode - 28
Joffrey Baratheon,0,Episode - 29
Joffrey Baratheon,200,Episode - 30
Joffrey Baratheon,115,Episode - 31
Joffrey Baratheon,1166,Episode - 32
Joffrey Baratheon,479,Episode - 33
Joffrey Baratheon,0,Episode - 34
Joffrey Baratheon,0,Episode - 35
Joffrey Baratheon,0,Episode - 36
Joffrey Baratheon,0,Episode - 37
Joffrey Baratheon,0,Episode - 38
Joffrey Baratheon,0,Episode - 39
Joffrey Baratheon,0,Episode - 40
Joffrey Baratheon,0,Episode - 41
Joffrey Baratheon,0,Episode - 42
Joffrey Baratheon,0,Episode - 43
Joffrey Baratheon,0,Episode - 44
Joffrey Baratheon,0,Episode - 45
Joffrey Baratheon,0,Episode - 46
Joffrey Baratheon,0,Episode - 47
Joffrey Baratheon,0,Episode - 48
Joffrey Baratheon,0,Episode - 49
Joffrey Baratheon,0,Episode - 50
Joffrey Baratheon,0,Episode - 51
Joffrey Baratheon,0,Episode - 52
Joffrey Baratheon,0,Episode - 53
Joffrey Baratheon,0,Episode - 54
Joffrey Baratheon,0,Episode - 55
Joffrey Baratheon,0,Episode - 56
Joffrey Baratheon,0,Episode - 57
Joffrey Baratheon,0,Episode - 58
Joffrey Baratheon,0,Episode - 59
Joffrey Baratheon,0,Episode - 60
Joffrey Baratheon,0,Episode - 61
Joffrey Baratheon,0,Episode - 62
Joffrey Baratheon,0,Episode - 63
Joffrey Baratheon,0,Episode - 64
Joffrey Baratheon,0,Episode - 65
Joffrey Baratheon,0,Episode - 66
Joffrey Baratheon,0,Episode - 67
Joffrey Baratheon,0,Episode - 68
Joffrey Baratheon,0,Episode - 69
Joffrey Baratheon,0,Episode - 70
Joffrey Baratheon,0,Episode - 71
Joffrey Baratheon,0,Episode - 72
Joffrey Baratheon,0,Episode - 73
Varys,0,Episode - 1
Varys,0,Episode - 2
Varys,346,Episode - 3
Varys,144,Episode - 4
Varys,672,Episode - 5
Varys,0,Episode - 6
Varys,361,Episode - 7
Varys,683,Episode - 8
Varys,571,Episode - 9
